日期,时间段,预测负载功率（kW）
2026-01-05,14:40-14:50,6278.410435
2026-01-05,14:50-15:00,6298.368810
2026-01-05,15:00-15:10,6303.235271
2026-01-05,15:10-15:20,6295.524727
2026-01-05,15:20-15:30,6265.394322
2026-01-05,15:30-15:40,6181.024862
2026-01-05,15:40-15:50,6174.093510
2026-01-05,15:50-16:00,6214.014656
2026-01-05,16:00-16:10,6143.755887
2026-01-05,16:10-16:20,6107.523129
2026-01-05,16:20-16:30,6136.390766
2026-01-05,16:30-16:40,6116.544255
2026-01-05,16:40-16:50,6113.623567
2026-01-05,16:50-17:00,6155.668409
2026-01-05,17:00-17:10,6179.055400
2026-01-05,17:10-17:20,6101.916037
2026-01-05,17:20-17:30,6070.090323
2026-01-05,17:30-17:40,6175.940090
2026-01-05,17:40-17:50,5445.279059
2026-01-05,17:50-18:00,4289.306641
2026-01-05,18:00-18:10,4188.751814
2026-01-05,18:10-18:20,4324.921214
2026-01-05,18:20-18:30,4212.437067
2026-01-05,18:30-18:40,4195.277070
2026-01-05,18:40-18:50,4232.344635
2026-01-05,18:50-19:00,4242.494521
2026-01-05,19:00-19:10,4226.015951
2026-01-05,19:10-19:20,4240.840610
2026-01-05,19:20-19:30,4301.768557
2026-01-05,19:30-19:40,4374.310549
2026-01-05,19:40-19:50,4451.665415
2026-01-05,19:50-20:00,4479.910899
2026-01-05,20:00-20:10,4400.267224
2026-01-05,20:10-20:20,4346.013599
2026-01-05,20:20-20:30,4335.684643
2026-01-05,20:30-20:40,4280.652005
2026-01-05,20:40-20:50,4307.366711
2026-01-05,20:50-21:00,4376.949366
2026-01-05,21:00-21:10,4321.062198
2026-01-05,21:10-21:20,4326.669340
2026-01-05,21:20-21:30,4434.333043
2026-01-05,21:30-21:40,4417.683902
2026-01-05,21:40-21:50,3959.822645
2026-01-05,21:50-22:00,3328.456514
2026-01-05,22:00-22:10,3164.480487
2026-01-05,22:10-22:20,3196.348810
2026-01-05,22:20-22:30,3220.706932
2026-01-05,22:30-22:40,3299.721142
2026-01-05,22:40-22:50,3349.097444
2026-01-05,22:50-23:00,3318.265067
2026-01-05,23:00-23:10,3252.653622
2026-01-05,23:10-23:20,3280.368206
2026-01-05,23:20-23:30,3397.883884
2026-01-05,23:30-23:40,3477.108905
2026-01-05,23:40-23:50,3497.138784
2026-01-05,23:50-24:00,3454.116410
